pregunta,respuesta_correcta,justificacion,articulo
"¿Cuál de los siguientes artículos se refiere a los derechos, deberes y libertades de los ciudadanos de las Illes Balears?","Artículo 13","El Artículo 13 establece los derechos, deberes y libertades reconocidos a los ciudadanos de las Illes Balears.","13"
"Si un ciudadano de las Illes Balears desea presentar un recurso administrativo ante el Gobierno, ¿qué artículo regula esta competencia?","Artículo 59","El Artículo 59 establece las competencias del Gobierno en relación con la presentación de recursos.","59"
"¿Cuál de las siguientes afirmaciones sobre el Tribunal Superior de Justicia de las Illes Balears es correcta según la ley?","El Tribunal Superior de Justicia de las Illes Balears es el máximo órgano judicial de la comunidad.","El Artículo 94 establece que es el máximo órgano judicial en la comunidad.","94"
"Si un ciudadano de Formentera desea gestionar su propia administración insular, ¿qué debe ocurrir según la ley?","Formentera debe solicitar la creación de un Consejo Insular que gestione su administración.","La ley establece que Formentera debe contar con su propio Consejo Insular.","Disposición específica"
"Si un ciudadano español residente en el extranjero desea ejercer sus derechos políticos en las Illes Balears, ¿qué debe hacer según el Estatuto de Autonomía?","Acreditar su última vecindad administrativa en las Illes Balears en el consulado.","El Estatuto establece que deben acreditar su última vecindad administrativa en el consulado.","9.2"
"¿Qué órgano es responsable de elaborar la Carta de Derechos Sociales de la Comunidad Autónoma de las Illes Balears?","El Parlamento","La Carta se elaborará mediante una ley del Parlamento.","—"
"María es una persona dependiente que reside en las Illes Balears. Según la normativa, ¿qué derecho le garantiza la Administración pública?","Derecho a prestaciones públicas para asegurar su autonomía personal","El Artículo 19 garantiza este derecho.","19"
"¿Qué materia corresponde a la Comunidad Autónoma de las Illes Balears en el desarrollo legislativo y ejecución?","Régimen jurídico de la Administración","El Artículo 31 establece esta competencia.","31.1"
"Si una empresa de transporte de mercancías opera exclusivamente dentro de las Illes Balears, ¿qué órgano es responsable de su ordenación?","La Comunidad Autónoma de las Illes Balears","El Artículo 32 establece esta competencia.","32.2"
"¿Cuál es la duración del mandato de los Diputados del Parlamento de las Illes Balears?","Cuatro años","El Artículo 41 establece la duración del mandato.","41.2"
"Si un Diputado del Parlamento de las Illes Balears es detenido por un delito flagrante, ¿qué ocurre con su inmunidad?","El Diputado puede ser detenido sin perder su inmunidad.","El Artículo 44 establece que gozan de inmunidad salvo en caso de delito flagrante.","44.1"
"Si el Presidente del Consejo Insular de Ibiza presenta su programa de gobierno y solicita la confianza del Pleno, ¿qué mayoría se requiere para su aprobación en la primera votación?","Mayoría absoluta","El Artículo 66 establece que se requiere mayoría absoluta en primera votación.","66.1"
"Un Ayuntamiento de las Illes Balears desea asumir competencias que le han sido transferidas por un Consejo Insular. ¿Qué procedimiento debe seguir para hacer efectiva esta transferencia?","El Ayuntamiento debe acordar la aceptación de la transferencia en un Pleno y el Consejo Insular comunicará el acuerdo plenario.","El Artículo 75 establece este procedimiento.","75.6"
"Si una ley del Parlamento de las Illes Balears establece la regulación de la publicidad institucional, ¿qué órgano es responsable de garantizar la imparcialidad y pluralidad de los medios públicos de comunicación en las Illes Balears?","El Consejo Audiovisual de las Illes Balears","El Artículo 92 establece que este órgano vela por la imparcialidad y pluralidad.","92.1"
"Si la Comunidad Autónoma de las Illes Balears desea iniciar acciones ante el Tribunal de Justicia de la Unión Europea, ¿qué debe hacer según la legislación vigente?","Instar al Estado y a las instituciones legitimadas para que inicien acciones.","El Artículo 113 establece esta competencia.","113.1"
"En el caso de que se produzca una reforma del sistema tributario español que afecte negativamente a las Illes Balears, ¿qué derecho tiene la Comunidad Autónoma según el Estatuto?","Derecho a que el Estado adopte medidas de compensación para no ver reducidas sus competencias.","El Artículo 122 establece este derecho.","122.2"
"Si la Comunidad Autónoma de las Illes Balears decide establecer un nuevo tributo propio, ¿qué procedimiento debe seguir según la legislación vigente?","Debe ser aprobado por ley del Parlamento de la Comunidad Autónoma.","El Artículo 129 establece esta competencia.","129.4"
"Si el Parlamento de las Illes Balears decide retirar una propuesta de reforma del Estatuto de Autonomía, ¿qué órgano debe tramitar dicha propuesta antes de su retirada?","El Congreso de los Diputados","El procedimiento establece que debe tramitarse en el Congreso antes de su retirada.","—"
"¿Quiénes son elegibles para ser consejeros insulares en las Islas Baleares?","Todos los ciudadanos con la condición de electores en su isla respectiva.","La ley establece que son elegibles todos los ciudadanos electores de su isla, salvo inelegibilidad.","—"
"Si un consejero electo acepta un cargo que genera incompatibilidad, ¿qué consecuencia jurídica se produce?","El consejero electo será cesado automáticamente de su condición de consejero insular.","La aceptación de un cargo incompatible ocasiona el cese automático.","—"
